season,constructor_id,drivers_used,race_entries,wins,podiums,total_points,avg_finish_position,finishes,dnfs,dnf_rate_pct
2018,toro_rosso,2,42,0,0,33.0,12.161290322580646,9,11,26.2
2018,williams,2,42,0,0,7.0,14.324324324324325,6,5,11.9
2017,mercedes,2,40,12,26,668.0,2.8205128205128207,38,1,2.5
2017,ferrari,2,40,5,20,522.0,3.4857142857142858,34,5,12.5
2017,red_bull,2,40,3,13,368.0,3.814814814814815,26,13,32.5
2017,force_india,2,40,0,0,187.0,7.921052631578948,21,2,5.0
2017,williams,3,40,0,1,83.0,10.242424242424242,11,7,17.5
2017,renault,3,40,0,0,57.0,10.777777777777779,10,13,32.5
2017,toro_rosso,4,40,0,0,53.0,11.035714285714286,6,12,30.0
2017,haas,2,40,0,0,47.0,11.21875,10,8,20.0
2017,mclaren,3,40,0,0,30.0,11.48,6,15,37.5
2017,sauber,3,40,0,0,5.0,14.233333333333333,3,10,25.0
2016,mercedes,2,42,19,33,765.0,2.1794871794871793,39,3,7.1
2016,red_bull,3,42,2,16,468.0,4.641025641025641,36,3,7.1
2016,ferrari,2,42,0,11,398.0,4.382352941176471,34,8,19.0
2016,force_india,2,42,0,2,173.0,8.789473684210526,26,4,9.5
2016,williams,2,42,0,1,138.0,9.216216216216216,22,5,11.9
2016,mclaren,3,42,0,0,76.0,10.636363636363637,13,9,21.4
2016,toro_rosso,3,42,0,0,63.0,11.09375,15,10,23.8
2016,haas,2,42,0,0,29.0,12.75,8,10,23.8
2016,renault,2,42,0,0,8.0,14.0625,6,10,23.8
2016,sauber,2,42,0,0,2.0,15.090909090909092,1,9,21.4
2016,manor,3,42,0,0,1.0,16.88235294117647,2,8,19.0
2015,mercedes,2,38,16,32,703.0,2.388888888888889,35,2,5.3
2015,ferrari,2,38,3,16,428.0,3.96875,30,6,15.8
2015,williams,2,38,0,4,257.0,6.96969696969697,26,5,13.2
2015,red_bull,2,38,0,3,187.0,7.909090909090909,16,5,13.2
2015,force_india,2,38,0,1,136.0,8.64516129032258,14,7,18.4
2015,lotus_f1,2,38,0,1,78.0,9.173913043478262,15,15,39.5
2015,toro_rosso,2,38,0,0,67.0,9.962962962962964,13,11,28.9
2015,sauber,2,38,0,0,36.0,11.4375,13,6,15.8
2015,mclaren,3,38,0,0,27.0,12.125,8,14,36.8
2015,manor,3,36,0,0,0.0,15.75,1,4,11.1
